tipo;categoria;mes;dia_semana;hora;pautado;alcance;impresiones;usuarios;clicks;interacciones
Foto;Accion;2;4;12;No;15288;31467;1401;2110;305
Foto;Inspiracion;2;4;3;No;9528;16779;1175;1725;264
Link;Accion;2;3;13;No;9356;14986;381;505;131
Foto;Inspiracion;2;3;3;No;7732;13264;1002;1336;224
Foto;Accion;2;2;13;No;5240;8893;837;1020;61
Foto;Inspiracion;2;2;4;Si;7132;12060;944;1226;182
Foto;Accion;2;1;12;No;21928;39641;1479;1837;86
Foto;Inspiracion;1;6;16;Si;5754;9238;1143;1452;84
Foto;Accion;1;6;10;Si;37088;10966;2288;3183;633
Link;Accion;1;6;4;No;39600;7927;496;581;107
Foto;Inspiracion;1;5;13;No;5536;8745;1099;1461;106
Foto;Inspiracion;1;5;4;No;6056;10325;1078;1427;127
Foto;Producto;1;4;11;No;11484;20696;1635;2741;515
Link;Accion;1;4;4;Si;4938;7910;63;70;7
Foto;Inspiracion;1;3;10;No;66784;9456;2833;3645;226
Foto;Producto;1;3;3;No;5526;8779;1058;1399;97
Foto;Inspiracion;1;2;7;No;5040;8367;1023;1348;108
Link;Accion;1;2;2;No;5168;8371;59;71;14
Foto;Inspiracion;1;1;12;No;5034;8030;993;1243;83
Foto;Inspiracion;1;1;2;No;4908;7491;937;1153;66
Foto;Inspiracion;1;7;10;No;9700;17442;1271;2007;378
Foto;Inspiracion;1;7;2;No;4800;7754;938;1278;103
Foto;Inspiracion;1;6;11;No;5280;8703;911;1237;110
Foto;Inspiracion;1;6;3;Si;6184;10228;901;1140;152
Link;Accion;1;5;11;No;45920;5808;655;763;137
Foto;Inspiracion;1;1;2;No;8412;13960;1111;1632;257
Foto;Inspiracion;1;7;10;No;5400;9218;756;1003;176
Foto;Inspiracion;1;7;2;No;4684;7536;708;985;84
Foto;Producto;1;5;8;No;3480;6229;508;687;75
Foto;Accion;1;5;2;No;3778;7216;572;795;115
Foto;Inspiracion;1;4;11;No;4156;7564;574;832;136
Foto;Producto;1;4;4;No;4188;7292;524;743;119
